Year,Region,Education_Level,Female_Percentage,Male_Percentage
2016,New South Wales,Bachelor's Educational Attainment,0.363,0.3
2016,Victoria,Bachelor's Educational Attainment,0.377,0.303
2016,Queensland,Bachelor's Educational Attainment,0.259,0.175
2016,South Australia,Bachelor's Educational Attainment,0.298,0.234
2016,Western Australia,Bachelor's Educational Attainment,0.348,0.205
2016,Tasmania,Bachelor's Educational Attainment,0.239,0.16
2017,New South Wales,Bachelor's Educational Attainment,0.375,0.321
2017,Victoria,Bachelor's Educational Attainment,0.376,0.265
2017,Queensland,Bachelor's Educational Attainment,0.345,0.221
2017,South Australia,Bachelor's Educational Attainment,0.285,0.211
2017,Western Australia,Bachelor's Educational Attainment,0.371,0.251
2017,Tasmania,Bachelor's Educational Attainment,0.254,0.141
2018,New South Wales,Bachelor's Educational Attainment,0.366,0.279
2018,Victoria,Bachelor's Educational Attainment,0.383,0.297
2018,Queensland,Bachelor's Educational Attainment,0.304,0.201
2018,South Australia,Bachelor's Educational Attainment,0.35,0.204
2018,Western Australia,Bachelor's Educational Attainment,0.336,0.243
2018,Tasmania,Bachelor's Educational Attainment,0.299,0.159
2019,New South Wales,Bachelor's Educational Attainment,0.377,0.294
2019,Victoria,Bachelor's Educational Attainment,0.384,0.306
2019,Queensland,Bachelor's Educational Attainment,0.331,0.238
2019,South Australia,Bachelor's Educational Attainment,0.335,0.238
2019,Western Australia,Bachelor's Educational Attainment,0.324,0.225
2019,Tasmania,Bachelor's Educational Attainment,0.268,0.186
2020,New South Wales,Bachelor's Educational Attainment,0.396,0.283
2020,Victoria,Bachelor's Educational Attainment,0.384,0.293
2020,Queensland,Bachelor's Educational Attainment,0.311,0.258
2020,South Australia,Bachelor's Educational Attainment,0.31,0.274
2020,Western Australia,Bachelor's Educational Attainment,0.358,0.213
2020,Tasmania,Bachelor's Educational Attainment,0.299,0.173
2021,New South Wales,Bachelor's Educational Attainment,0.398,0.304
2021,Victoria,Bachelor's Educational Attainment,0.378,0.322
2021,Queensland,Bachelor's Educational Attainment,0.311,0.227
2021,South Australia,Bachelor's Educational Attainment,0.307,0.279
2021,Western Australia,Bachelor's Educational Attainment,0.369,0.247
2021,Tasmania,Bachelor's Educational Attainment,0.305,0.211
2016,New South Wales,Doctoral Educational Attainment,0,0.012
2016,Victoria,Doctoral Educational Attainment,0.004,0.001
2016,Queensland,Doctoral Educational Attainment,0.012,0.001
2016,South Australia,Doctoral Educational Attainment,0.007,0.01
2016,Western Australia,Doctoral Educational Attainment,0.009,0.01
2016,Tasmania,Doctoral Educational Attainment,0,0.004
2017,New South Wales,Doctoral Educational Attainment,0.005,0.012
2017,Victoria,Doctoral Educational Attainment,0.01,0.012
2017,Queensland,Doctoral Educational Attainment,0,0.005
2017,South Australia,Doctoral Educational Attainment,0,0.015
2017,Western Australia,Doctoral Educational Attainment,0,0.021
2017,Tasmania,Doctoral Educational Attainment,0.013,0.013
2018,New South Wales,Doctoral Educational Attainment,0.005,0.008
2018,Victoria,Doctoral Educational Attainment,0.006,0.014
2018,Queensland,Doctoral Educational Attainment,0.014,0.01
2018,South Australia,Doctoral Educational Attainment,0,0.021
2018,Western Australia,Doctoral Educational Attainment,0.006,0.004
2018,Tasmania,Doctoral Educational Attainment,0.008,0.009
2019,New South Wales,Doctoral Educational Attainment,0.004,0.003
2019,Victoria,Doctoral Educational Attainment,0.004,0.009
2019,Queensland,Doctoral Educational Attainment,0.007,0.005
2019,South Australia,Doctoral Educational Attainment,0.017,0.012
2019,Western Australia,Doctoral Educational Attainment,0,0.004
2019,Tasmania,Doctoral Educational Attainment,0,0.004
2020,New South Wales,Doctoral Educational Attainment,0.008,0.006
2020,Victoria,Doctoral Educational Attainment,0.008,0.025
2020,Queensland,Doctoral Educational Attainment,0.01,0.008
2020,South Australia,Doctoral Educational Attainment,0.01,0.03
2020,Western Australia,Doctoral Educational Attainment,0.013,0.013
2020,Tasmania,Doctoral Educational Attainment,0.016,0.037
2021,New South Wales,Doctoral Educational Attainment,0.007,0.022
2021,Victoria,Doctoral Educational Attainment,0.006,0.005
2021,Queensland,Doctoral Educational Attainment,0.004,0.016
2021,South Australia,Doctoral Educational Attainment,0.018,0.013
2021,Western Australia,Doctoral Educational Attainment,0.01,0.037
2021,Tasmania,Doctoral Educational Attainment,0.012,0.008
2016,New South Wales,Master's Educational Attainment,0.111,0.074
2016,Victoria,Master's Educational Attainment,0.095,0.074
2016,Queensland,Master's Educational Attainment,0.046,0.049
2016,South Australia,Master's Educational Attainment,0.082,0.06
2016,Western Australia,Master's Educational Attainment,0.051,0.051
2016,Tasmania,Master's Educational Attainment,0.054,0.046
2017,New South Wales,Master's Educational Attainment,0.105,0.069
2017,Victoria,Master's Educational Attainment,0.123,0.092
2017,Queensland,Master's Educational Attainment,0.062,0.037
2017,South Australia,Master's Educational Attainment,0.05,0.042
2017,Western Australia,Master's Educational Attainment,0.049,0.06
2017,Tasmania,Master's Educational Attainment,0.049,0.058
2018,New South Wales,Master's Educational Attainment,0.128,0.115
2018,Victoria,Master's Educational Attainment,0.114,0.083
2018,Queensland,Master's Educational Attainment,0.044,0.049
2018,South Australia,Master's Educational Attainment,0.116,0.068
2018,Western Australia,Master's Educational Attainment,0.065,0.049
2018,Tasmania,Master's Educational Attainment,0.079,0.091
2019,New South Wales,Master's Educational Attainment,0.138,0.109
2019,Victoria,Master's Educational Attainment,0.131,0.091
2019,Queensland,Master's Educational Attainment,0.075,0.069
2019,South Australia,Master's Educational Attainment,0.079,0.085
2019,Western Australia,Master's Educational Attainment,0.077,0.056
2019,Tasmania,Master's Educational Attainment,0.121,0.119
2020,New South Wales,Master's Educational Attainment,0.131,0.093
2020,Victoria,Master's Educational Attainment,0.177,0.114
2020,Queensland,Master's Educational Attainment,0.098,0.067
2020,South Australia,Master's Educational Attainment,0.107,0.056
2020,Western Australia,Master's Educational Attainment,0.077,0.057
2020,Tasmania,Master's Educational Attainment,0.075,0.099
2021,New South Wales,Master's Educational Attainment,0.145,0.081
2021,Victoria,Master's Educational Attainment,0.153,0.105
2021,Queensland,Master's Educational Attainment,0.075,0.055
2021,South Australia,Master's Educational Attainment,0.112,0.095
2021,Western Australia,Master's Educational Attainment,0.091,0.07
2021,Tasmania,Master's Educational Attainment,0.127,0.1
2016,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.091,0.101
2016,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.103,0.106
2016,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.125,0.141
2016,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.15,0.184
2016,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.119,0.135
2016,Tasmania,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.187,0.194
2017,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.088,0.107
