Year,Region,Education_Level,Female_Percentage,Male_Percentage
2016,New South Wales,Bachelor's Educational Attainment,0.281,0.244
2016,Victoria,Bachelor's Educational Attainment,0.302,0.242
2016,Queensland,Bachelor's Educational Attainment,0.234,0.173
2016,South Australia,Bachelor's Educational Attainment,0.232,0.19
2016,Western Australia,Bachelor's Educational Attainment,0.265,0.206
2016,Tasmania,Bachelor's Educational Attainment,0.207,0.169
2017,New South Wales,Bachelor's Educational Attainment,0.296,0.247
2017,Victoria,Bachelor's Educational Attainment,0.307,0.232
2017,Queensland,Bachelor's Educational Attainment,0.274,0.188
2017,South Australia,Bachelor's Educational Attainment,0.249,0.193
2017,Western Australia,Bachelor's Educational Attainment,0.286,0.215
2017,Tasmania,Bachelor's Educational Attainment,0.234,0.135
2018,New South Wales,Bachelor's Educational Attainment,0.293,0.24
2018,Victoria,Bachelor's Educational Attainment,0.313,0.245
2018,Queensland,Bachelor's Educational Attainment,0.246,0.171
2018,South Australia,Bachelor's Educational Attainment,0.28,0.197
2018,Western Australia,Bachelor's Educational Attainment,0.287,0.207
2018,Tasmania,Bachelor's Educational Attainment,0.254,0.162
2019,New South Wales,Bachelor's Educational Attainment,0.298,0.264
2019,Victoria,Bachelor's Educational Attainment,0.323,0.271
2019,Queensland,Bachelor's Educational Attainment,0.262,0.184
2019,South Australia,Bachelor's Educational Attainment,0.242,0.171
2019,Western Australia,Bachelor's Educational Attainment,0.256,0.207
2019,Tasmania,Bachelor's Educational Attainment,0.251,0.198
2020,New South Wales,Bachelor's Educational Attainment,0.314,0.254
2020,Victoria,Bachelor's Educational Attainment,0.337,0.257
2020,Queensland,Bachelor's Educational Attainment,0.282,0.195
2020,South Australia,Bachelor's Educational Attainment,0.25,0.207
2020,Western Australia,Bachelor's Educational Attainment,0.303,0.219
2020,Tasmania,Bachelor's Educational Attainment,0.265,0.156
2021,New South Wales,Bachelor's Educational Attainment,0.327,0.271
2021,Victoria,Bachelor's Educational Attainment,0.331,0.283
2021,Queensland,Bachelor's Educational Attainment,0.258,0.175
2021,South Australia,Bachelor's Educational Attainment,0.255,0.219
