Year,Region,Education level,Percentage
2020,Tasmania,Doctoral Educational Attainment,0.023
2018,Western Australia,Short-Cycle Tertiary Educational Attainment,0.116
2017,Western Australia,Short-Cycle Tertiary Educational Attainment,0.115
2021,Queensland,Master's Educational Attainment,0.065
2019,Western Australia,Short-Cycle Tertiary Educational Attainment,0.116
2018,Western Australia,Bachelor's Educational Attainment,0.252
2017,Western Australia,Bachelor's Educational Attainment,0.245
2016,Western Australia,Bachelor's Educational Attainment,0.235
2021,Western Australia,Bachelor's Educational Attainment,0.247
2020,Western Australia,Bachelor's Educational Attainment,0.262
2016,Western Australia,Short-Cycle Tertiary Educational Attainment,0.127
2021,Western Australia,Short-Cycle Tertiary Educational Attainment,0.116
2016,Queensland,Master's Educational Attainment,0.039
2019,Queensland,Doctoral Educational Attainment,0.014
2018,Queensland,Doctoral Educational Attainment,0.009
2017,Queensland,Doctoral Educational Attainment,0.008
2016,Queensland,Doctoral Educational Attainment,0.01
2021,Queensland,Doctoral Educational Attainment,0.01
2019,Victoria,Bachelor's Educational Attainment,0.298
2018,Victoria,Bachelor's Educational Attainment,0.281
2017,Victoria,Bachelor's Educational Attainment,0.271
2016,Victoria,Bachelor's Educational Attainment,0.273
2021,Victoria,Bachelor's Educational Attainment,0.308
2019,Tasmania,Master's Educational Attainment,0.063
2018,Tasmania,Master's Educational Attainment,0.04
2017,Tasmania,Master's Educational Attainment,0.042
2016,Tasmania,Master's Educational Attainment,0.044
2021,Tasmania,Master's Educational Attainment,0.077
2019,South Australia,Bachelor's Educational Attainment,0.205
2018,South Australia,Bachelor's Educational Attainment,0.24
2017,South Australia,Bachelor's Educational Attainment,0.222
2016,South Australia,Bachelor's Educational Attainment,0.211
2021,South Australia,Bachelor's Educational Attainment,0.221
2019,Western Australia,Master's Educational Attainment,0.057
2018,Western Australia,Master's Educational Attainment,0.061
2017,Western Australia,Master's Educational Attainment,0.058
2016,Western Australia,Master's Educational Attainment,0.051
2021,Western Australia,Master's Educational Attainment,0.063
2019,New South Wales,Master's Educational Attainment,0.089
2018,New South Wales,Master's Educational Attainment,0.094
2017,New South Wales,Master's Educational Attainment,0.081
2016,New South Wales,Master's Educational Attainment,0.078
2021,New South Wales,Master's Educational Attainment,0.097
2019,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.231
2018,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.219
2017,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.234
2016,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.246
2021,South Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.198
2019,Victoria,Tertiary Educational Attainment,0.523
2018,Victoria,Tertiary Educational Attainment,0.494
2017,Victoria,Tertiary Educational Attainment,0.488
2016,Victoria,Tertiary Educational Attainment,0.464
2021,Victoria,Tertiary Educational Attainment,0.535
2019,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.325
2018,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.35
2017,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.334
2016,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.345
2021,Victoria,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.303
2019,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.181
2018,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.201
2017,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.201
2016,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.212
2021,Queensland,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.161
2019,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.355
2018,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.389
2017,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.379
2016,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.355
2021,Tasmania,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.369
2019,Queensland,Master's Educational Attainment,0.053
2018,Queensland,Master's Educational Attainment,0.044
2017,Queensland,Master's Educational Attainment,0.045
2016,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.376
2019,South Australia,Master's Educational Attainment,0.051
2018,South Australia,Master's Educational Attainment,0.053
2017,South Australia,Master's Educational Attainment,0.042
2016,South Australia,Master's Educational Attainment,0.045
2021,South Australia,Master's Educational Attainment,0.075
2019,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.164
2018,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.181
2017,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.188
2016,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.188
2021,New South Wales,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.142
2019,Western Australia,Doctoral Educational Attainment,0.01
2018,Western Australia,Doctoral Educational Attainment,0.013
2017,Western Australia,Doctoral Educational Attainment,0.012
2016,Western Australia,Doctoral Educational Attainment,0.008
2021,Western Australia,Doctoral Educational Attainment,0.014
2020,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.322
2019,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.334
2018,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.331
2017,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.334
2016,New South Wales,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.339
2020,Victoria,Short-Cycle Tertiary Educational Attainment,0.128
2019,Victoria,Short-Cycle Tertiary Educational Attainment,0.122
2018,Victoria,Short-Cycle Tertiary Educational Attainment,0.125
2017,Victoria,Short-Cycle Tertiary Educational Attainment,0.123
2016,Victoria,Short-Cycle Tertiary Educational Attainment,0.115
2019,Victoria,Master's Educational Attainment,0.087
2018,Victoria,Master's Educational Attainment,0.076
2017,Victoria,Master's Educational Attainment,0.078
2016,Victoria,Master's Educational Attainment,0.063
2021,Victoria,Master's Educational Attainment,0.098
2019,Victoria,Doctoral Educational Attainment,0.017
2018,Victoria,Doctoral Educational Attainment,0.013
2017,Victoria,Doctoral Educational Attainment,0.016
2016,Victoria,Doctoral Educational Attainment,0.013
2021,Victoria,Doctoral Educational Attainment,0.018
2019,Western Australia,Tertiary Educational Attainment,0.417
2019,South Australia,Doctoral Educational Attainment,0.014
2018,South Australia,Doctoral Educational Attainment,0.01
2017,South Australia,Doctoral Educational Attainment,0.012
2016,South Australia,Doctoral Educational Attainment,0.011
2021,South Australia,Doctoral Educational Attainment,0.018
2019,Queensland,Tertiary Educational Attainment,0.409
2018,Queensland,Tertiary Educational Attainment,0.378
2017,Queensland,Tertiary Educational Attainment,0.396
2016,Queensland,Tertiary Educational Attainment,0.368
2021,Queensland,Tertiary Educational Attainment,0.412
2019,New South Wales,Doctoral Educational Attainment,0.012
2018,New South Wales,Doctoral Educational Attainment,0.01
2017,New South Wales,Doctoral Educational Attainment,0.013
2016,New South Wales,Doctoral Educational Attainment,0.012
2021,New South Wales,Doctoral Educational Attainment,0.017
2019,South Australia,Tertiary Educational Attainment,0.373
2018,South Australia,Tertiary Educational Attainment,0.414
2017,South Australia,Tertiary Educational Attainment,0.389
2016,South Australia,Tertiary Educational Attainment,0.383
2021,South Australia,Tertiary Educational Attainment,0.412
2019,Tasmania,Bachelor's Educational Attainment,0.226
2018,Tasmania,Bachelor's Educational Attainment,0.208
2017,Tasmania,Bachelor's Educational Attainment,0.186
2016,Tasmania,Bachelor's Educational Attainment,0.188
2021,Tasmania,Bachelor's Educational Attainment,0.221
2018,Queensland,Bachelor's Educational Attainment,0.21
2017,Queensland,Bachelor's Educational Attainment,0.232
2016,Queensland,Bachelor's Educational Attainment,0.204
2021,Queensland,Bachelor's Educational Attainment,0.226
2020,Queensland,Bachelor's Educational Attainment,0.247
2019,New South Wales,Short-Cycle Tertiary Educational Attainment,0.119
2018,New South Wales,Short-Cycle Tertiary Educational Attainment,0.118
2017,New South Wales,Short-Cycle Tertiary Educational Attainment,0.112
2020,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.368
2019,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.381
2018,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.381
2017,Western Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.385
2016,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.201
2021,Western Australia,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.161
2019,Tasmania,Doctoral Educational Attainment,0.01
2018,Tasmania,Doctoral Educational Attainment,0.011
2017,Tasmania,Doctoral Educational Attainment,0.015
2016,Tasmania,Doctoral Educational Attainment,0.011
2021,Tasmania,Doctoral Educational Attainment,0.016
2019,Tasmania,Short-Cycle Tertiary Educational Attainment,0.102
2018,Tasmania,Short-Cycle Tertiary Educational Attainment,0.086
2017,Tasmania,Short-Cycle Tertiary Educational Attainment,0.099
2016,Tasmania,Short-Cycle Tertiary Educational Attainment,0.09
2021,Tasmania,Short-Cycle Tertiary Educational Attainment,0.08
2016,New South Wales,Bachelor's Educational Attainment,0.263
2021,New South Wales,Bachelor's Educational Attainment,0.3
2020,New South Wales,Bachelor's Educational Attainment,0.285
2019,New South Wales,Bachelor's Educational Attainment,0.281
2018,New South Wales,Bachelor's Educational Attainment,0.267
2019,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.15
2018,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.156
2017,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.178
2016,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.191
2021,Victoria,"Pre-primary, Primary and Lower Secondary Educational Attainment",0.142
2016,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.371
2021,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.371
2020,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.39
2019,South Australia,Upper Secondary and Post-Secondary Non-Tertiary Educational Attainment,0.396
